Date,FGIRX_return,MSCI_EAFE_return,SPBMI_return,EFAD_return,IMTM_return,VWO_return,MSCI_euro_return,MSCI_EAFE_val_return
2015-01-28,-0.013717675154450326,-0.0027643563223440637,-0.0031938523541938935,-0.0010630082958336118,-0.003047697597127641,-0.011880415844853776,-0.004316345856384629,-0.003599755085500256
2015-01-29,0.006686357260726972,-0.005894870576610423,-0.003578803160554145,-0.002929066094552457,3.814610147898634e-4,9.751585246773331e-4,-0.001576452078438706,-0.00693852134916817
2015-01-30,-0.012226497953803594,-0.00522166058607354,-0.006849485675333611,-0.008946568124906129,0,-0.02716892227887291,-0.009691708544526279,-0.005416662138731709
2015-02-02,0.014184556185786068,0.004704795478589929,0.007590225393405703,0.0012100247682882426,-3.814610147898634e-4,0.017620582244198157,0.006382941003703735,0.007507082725949132
2015-02-03,0.015528262929384695,0.008175933901418908,0.003695490446736116,0.021770906025390335,0,0.017557071106903965,0.017450695519205084,0.012659258706509746
2015-02-04,-0.0042462523606490166,0.007257309890443153,0.0038809525936880362,-0.0034241307863096537,-0.0015272626398834532,-0.006791173405896078,0.0026215357057095545,0.005298428611911099
2015-02-05,0.012303115587616098,9.802974207122617e-4,0.007013746440613033,0.011803310803197409,0.0019087236546733166,0.007516146245127864,0.00161077436758017,0.0025495152697612156
2015-02-06,0.0011457323929349172,-0.004749423233600503,-0.005331267059396794,-0.009958075081732964,0,-0.016561532340222396,-0.005375313255871816,-0.004066132908210562
2015-02-09,-0.0030581062419203775,-0.003567929821583604,-0.0051648130280295135,0,-0.008425902175245525,-0.0012287260573891068,-0.007804810422531894,-0.003718506933877208
2015-02-10,0.0076277637640473905,0.0018115385653718619,0.001372646153754431,0.007059484330735,0,-0.0017226533962326762,0.004795145549736368,7.666345727814772e-4
2015-02-11,7.595898580188276e-4,-0.005919836095142905,-0.004473941255556113,-0.00548058926588979,-0.036424625851279924,-0.004443354851583425,-0.004249640284954559,-0.006569313242375863
2015-02-12,0.01245064187878775,0.013560802991809062,0.0036643930829498572,0,-0.17287291767951896,0.022989591883104232,0.012779823909904842,0.013828870741279253
2015-02-13,0.005608539659609502,0.009027515582674006,0.007132820240682847,0.016688758254387537,0.2283457385014933,0.01010347781539922,0.008841886440801972,0.011229980236495685
2015-02-17,0.0022346005990350193,0.0011921044334588515,0.0018263885297375992,0,0.0056444176196768225,-0.003116315561463967,-1.259351435676237e-4,0.0010860680039010973
2015-02-18,-0.0014891663490863571,0.007150972929759192,0.0018614329598456436,0.006957920363993786,0.003371421061943547,9.598512740796039e-4,0.00522197521703216,0.0071145914287331635
2015-02-19,-7.454342499486621e-4,0.004907185489074983,4.3137268414206176e-4,-0.004891218464162961,0,-0.003123077613513825,0.004886172833443503,0.0033168400256213815
2015-02-20,0.006688988150796771,0.0015295076472368052,-5.801973207901767e-4,0.008735924005507378,0.009565177046124251,0.0050401882164599066,3.5615495491203575e-4,7.734048910430502e-4
2015-02-23,-0.0014826170522117543,0.00410783358334843,0.0016367886314281321,0.00204441681339107,1.1111728440793556e-4,-0.009622422207869352,0.005870117215899029,0.0017946634301830855
2015-02-24,0.004810407144886231,0.003324569595544169,0.0014540254639463512,0.005092982937340729,0.001850102319584046,0.013684045328973049,0.004027562413068786,0.004391232259154165
2015-02-25,0.0014754337142712792,0.0018173907628673547,0.007046788097420986,0.0015228683339407745,0.0047944403990842765,-0.003343686022922121,5.698491229013669e-4,0.002147632700818747
2015-02-26,-0.0022139861850649645,-0.0017270010021581683,-0.004493124861104647,2.535564899286413e-4,0,-7.179370981815758e-4,-0.0026875966318762323,-0.0037109856732424618
2015-02-27,-0.002589237621880791,0.002883925664021625,0.0013747841856943666,2.535682609607903e-4,7.356013436594644e-4,7.179370981815758e-4,0.004301385188546725,0.002599436382274334
2015-03-02,0.007012429418276955,-0.0035992916760312355,-0.0014455278599836419,-0.0030464353449413117,0.00257018679084009,-0.00143636604254338,-0.004277830004638439,-0.004421625584568822
2015-03-03,-0.004053847378532094,-0.005043332315855409,-7.822372943095957e-4,-0.005865221455060521,-0.006548752416105863,-0.009145695186599134,-0.01029329020818981,-0.0042947704719278335
2015-03-04,-0.003699597264464227,-0.004294167038832342,-0.004742821717519163,-0.011316942060238588,-0.0019211562843799435,-0.011673284020834895,-0.0027346268847647792,-0.00502844930770685
2015-03-05,7.410152247193658e-4,0.0019020404239782351,-3.229818460788181e-4,0.0030991502478325827,0.003691329403727295,-0.0019589134569764077,0.004143701676976974,0.001549024204362759
2015-03-06,-0.010798876321621798,-0.009139707724209245,-0.010605677245274947,-0.019529328382879907,-0.010742796605864857,-0.016308738444924753,-0.014530477076303505,-0.010541629180464085
2015-03-09,0.0037369252656449525,-0.005413884743662223,-0.0070635698951004855,0.00385789200746256,0,-0.003993989383133112,-0.0037989675547134283,-0.0049513646868204475
2015-03-10,-0.0188258579045133,-0.017066864141713545,-0.013177145194084972,-0.024312876156024288,-0.015009624843382419,-0.020978855549874442,-0.022464329224431978,-0.018383097793814862
2015-03-11,-0.0011408253756797215,2.3787014504428328e-4,-0.0021354278751335443,-0.003225782497164431,0,0.007887001729971033,0.0025588265616676154,-1.4611192514824012e-4
2015-03-12,0.01172697358676933,0.0076847693257589,0.008881916382941668,0.009619763622102706,0,0.005559807164321917,0.003432374263033111,0.007381490916291256
2015-03-13,-0.007929095873266512,-0.0033136216084814762,-0.008316923299720003,-0.012855985476162513,0.01835601199025083,-0.012170510110051769,-0.006102602818911507,-0.006328701083856636
