"","Date","type","Holding_Period_Return"
"112",2015-01-09,"Composite",-0.00374620576797469
"113",2015-01-09,"Fund",0.0444521439501977
"114",2015-01-09,"Benchmark",-9.41885655081354e-05
"115",2015-01-12,"Composite",-0.0027945651607747
"116",2015-01-12,"Fund",0.0444521439501977
"117",2015-01-12,"Benchmark",-0.000188377131016271
"118",2015-01-13,"Composite",-0.00180109021163544
"119",2015-01-13,"Fund",0.0444521439501977
"120",2015-01-13,"Benchmark",-0.000188377131016271
"121",2015-01-14,"Composite",-0.00380082711377538
"122",2015-01-14,"Fund",0.0457608118771624
"123",2015-01-14,"Benchmark",-0.000565131393048812
"124",2015-01-15,"Composite",-0.0013120248223305
"125",2015-01-15,"Fund",0.049687410980666
"126",2015-01-15,"Benchmark",-0.000659319958556837
"127",2015-01-16,"Composite",-0.0019467251089903
"128",2015-01-16,"Fund",0.0457608118771624
"129",2015-01-16,"Benchmark",-0.000659319958556837
"130",2015-01-20,"Composite",0.000450478581874414
"131",2015-01-20,"Fund",0.0470696286347794
"132",2015-01-20,"Benchmark",-0.000470942827540677
"133",2015-01-21,"Composite",0.0011210910004007
"134",2015-01-21,"Fund",0.0444521439501977
"135",2015-01-21,"Benchmark",-0.000659319958556837
"136",2015-01-22,"Composite",0.00128648891065786
"137",2015-01-22,"Fund",0.0444521439501977
"138",2015-01-22,"Benchmark",-0.000753508524065083
"139",2015-01-23,"Composite",0.00403928197313475
"140",2015-01-23,"Fund",0.048378594223049
"141",2015-01-23,"Benchmark",-0.000847697089573218
"142",2015-01-26,"Composite",0.00494683451664391
"143",2015-01-26,"Fund",0.0470696286347794
"144",2015-01-26,"Benchmark",-0.000941885655081354
"145",2015-01-27,"Composite",0.00556713535309661
"146",2015-01-27,"Fund",0.048378594223049
"147",2015-01-27,"Benchmark",-0.00103607422058949
"148",2015-01-28,"Composite",0.00789599781503814
"149",2015-01-28,"Fund",0.0509962277382832
"150",2015-01-28,"Benchmark",-0.00122445135160587
"151",2015-01-29,"Composite",0.00556229628609595
"152",2015-01-29,"Fund",0.049687410980666
"153",2015-01-29,"Benchmark",-0.00122445135160587
"154",2015-01-30,"Composite",0.00542861940927963
"155",2015-01-30,"Fund",0.0561160021824527
"156",2015-01-30,"Benchmark",-0.00131863991711401
"157",2015-02-02,"Composite",0.0064268533632641
"158",2015-02-02,"Fund",0.0561160021824527
"159",2015-02-02,"Benchmark",0
"160",2015-02-03,"Composite",0.00859185613480884
"161",2015-02-03,"Fund",0.0521800267478449
"162",2015-02-03,"Benchmark",-9.41885655081354e-05
"163",2015-02-04,"Composite",0.00894749946421713
"164",2015-02-04,"Fund",0.0521800267478449
"165",2015-02-04,"Benchmark",-0.000470942827540677
"166",2015-02-05,"Composite",0.0103101523635554
"167",2015-02-05,"Fund",0.0521800267478449
"168",2015-02-05,"Benchmark",-0.000659319958556837
"169",2015-02-06,"Composite",0.00728367851468725
"170",2015-02-06,"Fund",0.0469322579425711
"171",2015-02-06,"Benchmark",-0.000753508524065083
"172",2015-02-09,"Composite",0.00661395606119997
"173",2015-02-09,"Fund",0.0469322579425711
