Date,FHKCX_return,MSCI_return,Nikkei_return,Hang_return,BSE_return,VWO_return,IXIC_return,NYA_return,CWI_return
2014-01-07,0.00511042762931746,-0.0015793994699491165,-0.005958408776653101,0.0012612707507742016,-0.004535172681766397,0.004066079299617442,0.009556300438644527,0.005561913310186739,0.004877344375894044
2014-01-08,0.012811169384721932,0.008962533910447767,0.01923166773771179,0.01241820657646997,0.0017449708983541257,-0.0017768502989796708,0.0029883423410570487,-6.218372252657645e-4,-5.725164689369677e-4
2014-01-09,-0.012811169384721932,-0.009306211956240595,-0.015069454129854165,-0.009141254114721775,-7.727150730438836e-4,-0.006371883254225885,-0.002263915557980667,4.6788006740783317e-4,-0.0014329419171144053
2014-01-10,-0.0024016223612304266,0.002677561587336008,0.00199604388886776,0.0025823069169970125,0.0021759868732065257,0.019245921975417968,0.00443651954665647,0.0043861435580865304,0.010271131958633717
2014-01-14,0.010465008205883475,-4.8006035966352556e-4,-0.031256261859798684,-0.0024090142666040038,0.013131637503308369,-0.0015059741802061488,0.0019981839087730435,-0.002708268594128427,5.675652900314354e-4
2014-01-15,0.004747783540068884,0.005199792777751178,0.024741325355938315,0.004846267171236818,0.012126566304125674,-2.5127496677868066e-4,0.0075876150515235,0.004082272287002198,0.003115736791707402
2014-01-16,0.003251074335392623,0.002249413033952763,-0.0038997646835614574,0.0036789355271871216,-0.0011425560902811327,-0.005542896459774127,9.03545791100413e-4,-8.823183877346708e-4,-0.001981614194487058
2014-01-17,0.0070568361066207785,0.004212535105640569,-8.093750223068241e-4,0.006372103885144753,-0.009523637619309966,-0.003543486325524814,-0.00501645199621592,-0.0031632263460537047,-0.001134122597220344
2014-01-21,-0.0070568361066207785,-0.004280624847947223,0.003900999615186862,-0.004342139574198711,0.008862218450667925,-0.0030472091004987156,0.006690883580777296,0.0021777297254956807,0.005093431956104233
2014-01-22,0.0035345841011382717,0.004009383237820963,0.0015814320478995114,0.0021307810608011124,0.004064492184749469,0.01263600335708448,0.004071495305666417,2.777811419303333e-4,2.8217863085000516e-4
2014-01-23,-0.01750007689002775,-0.011870790235521511,-0.007936768496202617,-0.01520670413423808,0.0016852784707221957,-0.023118011639588154,-0.005700903973915317,-0.009642351427553209,-0.009070342604512671
2014-01-24,-0.030379008705627708,-0.009862488990425078,-0.019579592918473665,-0.012563908600171203,-0.011297005945339222,-0.024718339598254868,-0.021735471639001247,-0.023144372739942298,-0.025668344698625667
2014-01-27,-0.011478302451783051,-0.02271231794572337,-0.02538711988526643,-0.02133782974647147,-0.0203688229652208,-0.006607662646106682,-0.01085276327557061,-0.005304906316807134,-0.005566163525521972
2014-01-28,0.011478302451783051,6.379133363001444e-4,-0.0017054900598285627,-7.036928345431903e-4,-0.0011567480559246945,0.006607662646106682,0.0035078520614835185,0.008528526067939524,0.006734017689904448
2014-01-29,0.003079830062396649,0.007623386958689693,0.026595498822135966,0.008206826895056807,-0.0017521550525820828,-0.017807726390637324,-0.011419390959520825,-0.010376645119578143,-0.010855292320071541
2014-01-30,0.004907985312192054,-0.0033104450024952214,-0.024801439788937785,-0.0048074603117385095,-0.007245081432046163,0.0104042287005921,0.017542666856526168,0.00857212705042798,0.006175582044149586
2014-02-04,-0.029815904751006705,-0.020960345309405604,-0.0688586011985528,-0.029364466085601393,-0.014066507948729878,-0.00425532557013808,-0.02246907426599165,-0.023329827568623784,-0.02253279408391462
2014-02-05,-0.012371260276695217,-0.0131991183029454,0.012197183613221085,-0.0060181689345757405,0.0024262932248291236,-0.0034708618941210467,-0.004965768510047042,-8.090751485880787e-4,0.0011986516089237398
2014-02-06,0.026147339346665355,0.008577504068663977,-0.0017829064382990367,0.007202699420128411,0.002450519780182958,0.019598137851637887,0.011295678617200267,0.013285707931414592,0.017221342935798578
2014-02-07,0.012053893621846168,0.01215798580954619,0.02147647593327129,0.009926641983101447,0.0032354257546547416,0.0039261403659103244,0.016801058568633565,0.011514695405509201,0.010541825142759365
2014-02-10,-0.0012296651363321587,-9.299997093377144e-4,0.017541444306843346,-0.0026652041529313664,-0.0020776305042939924,-0.011296613418153356,0.005392804630576009,-4.913475496692854e-4,-0.00233302812880698
2014-02-12,0.019796657470814605,0.026764299244208978,0.005536881158601403,0.032216556191521306,0.005601435621711559,0.019362248506229474,0.012724375940056376,0.012200319789716474,0.017079572430307888
2014-02-13,-0.0048367688006139,-0.006220968582682396,-0.01808954366865656,-0.0054108658120934905,-0.012555729652452996,0.0010360270152789397,0.009329626964188265,0.005372977123743183,0.002579906797461451
2014-02-14,0.0030256604935745557,0.006569315679248788,-0.015371331823253342,0.005977034704132578,0.008553798568071258,0.012093213275617298,7.896807536855732e-4,0.0052605947210278,0.006847387569469454
2014-02-18,0.009322034408610236,0.008324132416134944,0.03637422824462533,0.01289104442274791,0.013043301971222832,-0.008475664157585605,0.006753680954057373,0.0035521311914763487,0.004821963744174429
2014-02-19,5.984440633421961e-4,0.0012426649855941108,-0.005181406765784047,0.0033942585532162894,0.004292357349140019,-0.004394527025525452,-0.008184911171159825,-0.006307195030233359,-0.006244627206008158
2014-02-20,-0.004196618806023622,-0.009775791097847097,-0.02172550779841842,-0.012004043747474213,-0.009032142510735142,0.005167996198719216,0.006960138614395817,0.006091022520713807,0.004828854614778777
2014-02-21,-0.0012023145241202293,0.005766107191299774,0.028416878554388347,0.007746976838317821,0.007959293198590345,0.006934688210947559,-9.705002353417314e-4,-9.687121292714096e-4,8.497380365461993e-4
