Date,MSCI_Val_return,FIVLX_return,CAC40_return,FTSE_return,NIKKEI_return,MSCI_Europe_return
2015-01-06,-0.01132387921565492,-0.010296101252264211,-0.006799376877539842,-0.007923216454033266,-0.030652289611767358,-0.0082789568624273
2015-01-07,-0.004699582457848628,0.006447475590969809,0.007132572900159673,0.008339400088285487,1.267822831803045e-4,-0.004853584624402885
2015-01-08,0.02106560003593483,0.01909669745645637,0.03522670966015262,0.02311603185950517,0.016549536385424446,0.02659300993844571
2015-01-09,-0.004790047744384296,-0.0063251317769688065,-0.019225054746886627,-0.010529337223962543,0.0017826870112536142,-0.010042854416172808
2015-01-13,0.008189701181754216,0.005063301956546695,0.026263257132427498,0.006294606075565312,-0.0064178790833189225,0.015277634913155147
2015-01-14,-0.011667578617340801,-0.003795070968551695,-0.01574928738112291,-0.02378013619381214,-0.017221109406781565,-0.014774701122168388
2015-01-15,0.00901184966469959,0.006317140401261412,0.023393252508295603,0.017121127442274897,0.018448623262127484,0.009354737213258524
2015-01-16,1.9906128864999317e-4,0.010025146619378589,0.012966075459221571,0.007892288657966873,-0.01439639117822722,0.003894391205547798
2015-01-20,0.015011015403373129,0.006215060403434336,0.015047329107403584,0.010603921430721641,0.029340922366355215,0.01632926271448465
2015-01-21,0.0074644636601721714,0.00740744127786197,0.008689003226775682,0.016174284062770994,-0.004954023688378939,0.007705581629640079
2015-01-22,0.0035985639630080613,0.004907985312192054,0.0150440637933702,0.010142893955402243,0.0028049578193609648,0.0017621805954908254
2015-01-23,0.0023041977573727834,-0.0036787288574622323,0.019120663889324874,0.005312039429806958,0.010489558465877735,0.0028414825770886054
2015-01-26,0.002484162326587658,0.009780029053639616,0.00739389544930269,0.002859311607373627,-0.0024717071416962,0.0061136261318646135
2015-01-27,0.008190029840536184,0.0012158056208897428,-0.010951407684741454,-0.005970814302472149,0.01701563763874603,0.002846819806056722
2015-01-28,-0.003599755085500256,-0.01222509112925918,-0.002873809147368789,0.002101595804134604,0.0015425525439543009,-0.004316345856384629
2015-01-29,-0.00693852134916817,0.01222509112925918,0.004433985722457123,-0.002248840670496577,-0.010706278604782682,-0.001576452078438706
2015-01-30,-0.005416662138731709,-0.01222509112925918,-0.005885923711385743,-0.009026702493622807,0.003864445896549995,-0.009691708544526279
2015-02-02,0.007507082725949132,0.011009285508369437,0.0050736948409930704,0.004899561205881753,-0.006604823226995293,0.006382941003703735
2015-02-03,0.012659258706509746,0.013293247110662598,0.010795785492669907,0.01307203014474645,-0.012735322172146013,0.017450695519205084
2015-02-04,0.005298428611911099,-0.0036079413761989088,0.003925652792727163,-0.0017151281128295892,0.01958621181058895,0.0026215357057095545
2015-02-05,0.0025495152697612156,0.008398369698831676,0.001489425419059387,8.611694511682089e-4,-0.009898003922957699,0.00161077436758017
2015-02-06,-0.004066132908210562,-0.009603915354180703,-0.0026122198204117097,-0.0018205720166122319,0.008185996917269733,-0.005375313255871816
2015-02-09,-0.003718506933877208,-0.008479760079114662,-0.008552661252265281,-0.0023804358338530562,0.0035876122882605443,-0.007804810422531894
2015-02-10,7.666345727814772e-4,0.008479760079114662,0.009537059895269095,-0.0011741904905075984,-0.0033508106823951778,0.004795145549736368
2015-02-12,0.007259557498903391,0.015559859107031837,0.006485010852937734,-1.482769409264506e-4,0.018356899625114664,0.008530183624950283
2015-02-13,0.011229980236495685,0.004739345363896863,0.006991638422155333,0.006628470468493575,-0.0036977268860720613,0.008841886440801972
2015-02-17,0.0010860680039010973,0.0011813350458309557,-0.0011288619709102221,0.0035739308617870336,0.00410750139713123,-1.259351435676237e-4
2015-02-18,0.0071145914287331635,0.005885832177261463,0.009429454692400085,-7.5282244633712025e-6,0.01172171468717309,0.00522197521703216
2015-02-19,0.0033168400256213815,0.0023446669592539493,0.007111512373326079,-0.0013317825508067926,0.0035991271195374708,0.004886172833443503
2015-02-20,7.734048910430502e-4,0.008163310639160759,-4.925163076823225e-4,0.0038114733410008483,0.0036894624610486204,3.5615495491203575e-4
2015-02-23,0.0017946634301830855,-0.004656585829950544,0.006478771464934141,-4.4111051385620215e-4,0.007316445236906333,0.005870117215899029
2015-02-24,0.004391232259154165,0.004656585829950544,0.00495247303125268,0.0054068141421996785,0.007367666024451935,0.004027562413068786
2015-02-25,0.002147632700818747,0,-8.639314286860156e-4,-0.002052042323237302,-9.83162167946361e-4,5.698491229013669e-4
2015-02-26,-0.0037109856732424618,-0.0034904049397681547,0.005800152081663512,0.002067161097491166,0.01073516005918762,-0.0026875966318762323
2015-02-27,0.002599436382274334,0,0.008286287178808749,-4.429972584958364e-4,6.465771706558598e-4,0.004301385188546725
2015-03-02,-0.004421625584568822,0,-0.006922886897967828,-8.665923815165399e-4,0.0015384212585249912,-0.004277830004638439
2015-03-03,-0.0042947704719278335,-0.007017572658646554,-0.009823709725980123,-0.007449603657526893,-6.227453699505503e-4,-0.01029329020818981
2015-03-04,-0.00502844930770685,-0.0023501773449536856,0.009829866312879076,0.0043612960011252255,-0.005946938357601184,-0.0027346268847647792
2015-03-05,0.001549024204362759,0.0023501773449536856,0.009343317168164944,0.006037416097150583,0.0025758748196711423,0.004143701676976974
2015-03-06,-0.010541629180464085,-0.01299486685636797,1.692876437644486e-4,-0.007113402479607345,0.011619624754599656,-0.014530477076303505
2015-03-09,-0.0049513646868204475,0,-0.005483983868973752,-0.005123506816456569,-0.009557371921202318,-0.0037989675547134283
2015-03-10,-0.018383097793814862,-0.020421130063476234,-0.011253638226550677,-0.025574058413857514,-0.006698153201622148,-0.022464329224431978
