Date,FSPTX,MSCI_Info,NASDAQ,S&P500,S&P500_Info,S&PNATech,S&PMID,S&PSML,XOI_indtry_Sec,RUSSELL2000,VIGAX,VTSAX,VIX
16072,-0.007914855075625393,-0.010770702709237412,-0.008058070333561318,-0.008901413082297083,-0.010715124155344924,-0.010263273326738265,-0.01070870134937163,-0.012473420227329335,-0.012680389911809975,-0.011165227793506816,-0.008601752577265032,-0.009036184646074474,14.23
16073,-0.0011475411095354104,-0.0030624402846539667,-0.0026972088856922483,-3.3302032827897676e-4,-0.00479359926663836,-0.002298183232444906,0.0041698243229690846,0.004205449019571539,-0.0033136042363057783,0.004655784262077134,-0.0025316258514043177,4.321737272086068e-4,13.76
16076,-4.101554546647179e-4,-0.0027369084420758583,-0.004421759745179443,-0.0025149269331707913,-0.0023619733449304903,-0.003081752095424939,-0.006446130077903511,-0.008627210029076515,7.770317330484389e-4,-0.007754240091215614,-0.003809528416667707,-0.0030289723603118546,13.55
16077,0.010447368938791168,0.009858371173509184,0.009556300438644527,0.006063345182553803,0.009138964515871706,0.0109236301432869,0.008543171706600461,0.008702938156011086,0.010930038802943187,0.00908546361587348,0.007604599385219402,0.0064794825025673575,12.92
16078,0.005021473254915865,0.0013056584318169584,0.0029883423410570487,-2.1223169476591863e-4,8.094725953302628e-4,0.0013742684184707699,0.0014429827478155133,-0.003247171570493812,-0.005406378294797953,-1.4690055488397746e-4,0.0012618718548895735,4.3047782777394517e-4,12.87
16079,-0.007134779739226271,-0.005336757024710259,-0.002263915557980667,3.482487348200891e-4,-0.005610863511896547,-0.004818224929618253,0.0011274916786847555,-4.4081330540901575e-4,0.0012017436139259985,7.68642563968136e-4,-0.0014723738068509462,6.453479771639792e-4,12.89
16080,0.005193973695763798,0.0024050782013640415,0.00443651954665647,0.002304030363094789,0.0020062615906395465,0.0023431803528826123,0.00674571173429328,0.003218260406748108,1.8107026549252225e-4,0.005321039027625041,0.0035718496546661704,0.0030062080081028064,12.14
16083,-0.012953865605823456,-0.011464930133381124,-0.014809715937174062,-0.012655966489665715,-0.010159071127113783,-0.01230068701078224,-0.014349076548312745,-0.013611439505103462,-0.02060384780474589,-0.014217934620226025,-0.014790043526327512,-0.01273077961562441,13.28
16084,0.017476567548631916,0.01887001089853957,0.016807899845947105,0.010759876278140013,0.018846625229187453,0.018476850259109057,0.01211544279715504,0.011927716047745562,0.01011098309134173,0.013272922641805351,0.014370492439828908,0.011228816008497233,12.28
16085,0.010660141826021707,0.01160750483161177,0.0075876150515235,0.0051528891343552985,0.011546253168971177,0.010155412017399001,0.005681887200204905,0.007366259060234803,-0.005731140026309589,0.00678432424105857,0.005023074499926228,0.00535390506847877,12.28
16086,0.002388916568506705,7.1367314635750745e-6,9.03545791100413e-4,-0.0013480283593692022,-7.113941931828904e-4,2.1668472457481158e-4,-0.0012491203616553648,-5.577478946170444e-4,-0.0013917795207758488,0.0015184854265823944,0,-0.0010684903249700284,12.53
16087,-0.0037451735078231074,-0.005846605400688709,-0.00501645199621592,-0.0039027806039486634,-0.005504975163582948,-0.003907526951730134,-0.0031483021957958712,-0.005109616559047403,-0.0032278361676123524,-0.004014381176067339,-0.002717718768651345,-0.003641473524650607,12.44
16091,0.004858051206146907,0.004343780885248449,0.006690883580777296,0.002769912429512189,0.004962620653831351,0.004557299554187821,0.003791554107007933,0.005652279042348773,0.006275050792239334,0.006219687667439189,0.005011453482989481,0.003213757521551841,12.87
16092,0.0045973448125602445,0.001037022549267519,0.004071495305666417,5.746997659867858e-4,-6.781500070385249e-5,7.304898665001502e-4,0.00477079270262859,0.005515592351811094,0.004902382929897087,0.004726393477681334,0.0022885894402380202,0.0014962063280687943,12.84
16093,-0.008258603280015375,-0.00462759536593893,-0.005700903973915317,-0.008929324539825423,-0.0036007919875791217,-0.004716989878138733,-0.008517878624385133,-0.006887904223789931,-0.008277440474130593,-0.007554144375683691,-0.007300042923227501,-0.00858010430135181,13.77
16094,-0.02568385404678697,-0.021422217706157376,-0.021735471639001247,-0.021096421496433315,-0.020751520436117943,-0.021617266971411198,-0.025396414960540348,-0.02322121011723155,-0.022656137633794593,-0.024408423090176434,-0.0235105608085866,-0.021998012651553545,18.139999
16097,-0.013093611529525706,-0.011023011701660757,-0.01085276327557061,-0.0048882215903987,-0.010162121255128831,-0.012180282444235857,-0.008835970163739937,-0.012840235722933357,-0.00378672798702695,-0.01443778224783987,-0.007529324507015378,-0.0061851091127405056,17.42
16098,0.016279238074896174,-0.003265582184055482,0.0035078520614835185,0.006121875394401677,-0.006673558659420209,0.0027226940598223948,0.009026200693475595,0.00805614591495285,0.0075313028718548836,0.009276456005046896,0.0051690401545299025,0.007065606628569032,15.8
16099,-0.012060695072007466,-0.010100304101903212,-0.011419390959520825,-0.010261704005370298,-0.00942557544805478,-0.010793854003041226,-0.010393750580734995,-0.01359419005882323,-0.003535062048507065,-0.013969448434626663,-0.01210295720125254,-0.01039489609451838,17.35
16100,0.020263786756300917,0.016158825975851165,0.017542666856526168,0.011204044242667521,0.01472931899391039,0.018138922144403047,0.013887623297976326,0.01277125946902391,3.5616593138954045e-4,0.01495293552855781,0.015105962525436833,0.011933843286906054,17.290001
16101,-0.0019431631083928202,4.514485253377387e-4,-0.004679716124899258,-0.006486289887023489,0.0022819838578511664,-0.004322311214677299,-0.004437764121909105,-0.006701374661537862,-0.017488978508866992,-0.007470592955916011,-0.005368852268453406,-0.006170094361491962,18.41
