"Date","type","Holding_Period_Return"
2015-01-16,"Fund",0.0500578614082596
2015-01-16,"Benchmark",-0.000659319958556948
2015-01-20,"Composite",0.0477754850528105
2015-01-20,"Fund",0.0491370886118314
2015-01-20,"Benchmark",-0.000470942827540677
2015-01-21,"Composite",0.0463900691489518
2015-01-21,"Fund",0.0491370886118314
2015-01-21,"Benchmark",-0.000659319958556948
2015-01-22,"Composite",0.0457841382877293
2015-01-22,"Fund",0.0491370886118314
2015-01-22,"Benchmark",-0.000753508524065305
2015-01-23,"Composite",0.0489910701213419
2015-01-23,"Fund",0.0500578614082596
2015-01-23,"Benchmark",-0.00084769708957344
2015-01-26,"Composite",0.0485525568409708
2015-01-26,"Fund",0.0491370886118314
2015-01-26,"Benchmark",-0.000941885655081354
2015-01-27,"Composite",0.0489661277095295
2015-01-27,"Fund",0.0500578614082596
2015-01-27,"Benchmark",-0.00103607422058971
2015-01-28,"Composite",0.0527449743894668
2015-01-28,"Fund",0.050979049950391
2015-01-28,"Benchmark",-0.00122445135160598
2015-01-29,"Composite",0.0513110070943059
2015-01-29,"Fund",0.050979049950391
2015-01-29,"Benchmark",-0.00122445135160598
2015-01-30,"Composite",0.0541864597121071
2015-01-30,"Fund",0.0550408854718287
2015-01-30,"Benchmark",-0.00131863991711412
2015-02-02,"Composite",0.0545758699552623
2015-02-02,"Fund",0.0550408854718287
2015-02-02,"Benchmark",0
2015-02-03,"Composite",0.0512656554795468
2015-02-03,"Fund",0.0541175142647548
2015-02-03,"Benchmark",-9.41885655082464e-05
2015-02-04,"Composite",0.0508861849690314
2015-02-04,"Fund",0.0541175142647548
2015-02-04,"Benchmark",-0.000470942827540677
2015-02-05,"Composite",0.0506949372603631
2015-02-05,"Fund",0.0541175142647548
2015-02-05,"Benchmark",-0.000659319958556948
2015-02-06,"Composite",0.0458358257258868
2015-02-06,"Fund",0.051348543944217
2015-02-06,"Benchmark",-0.000753508524065305
2015-02-09,"Composite",0.0457153797270771
2015-02-09,"Fund",0.051348543944217
2015-02-09,"Benchmark",-0.00084769708957344
2015-02-10,"Composite",0.0441054406023531
2015-02-10,"Fund",0.0504254845464203
2015-02-10,"Benchmark",-0.000941885655081354
