"","Date","FRESX_Log_Return","DWRSF_Log_Return","GSPC_Log_Return","IXIC_Log_Return","RUT_Log_Return","DJI_Log_Return","XOI_Log_Return","RMZ_Log_Return","DWCF_Log_Return","RUA_Log_Return","VNQ_Log_Return"
"1",2014-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2014-01-03,0.00719546332427923,0.00740448789386416,-0.000333020328278977,-0.00269720888569225,0.00465578426207713,0.00174047196902904,-0.00331360423630578,0.000890868655801569,0.000366907256614368,0.00035504807765907,0.00555985988201968
"3",2014-01-06,0.00404408695439651,0.00469896411932869,-0.00251492693317079,-0.00442175974517944,-0.00775424009121561,-0.00272932240531176,0.000777031733048439,0.00266785396119307,-0.00314594546022562,-0.00323642612920949,0.00506955529142328
"4",2014-01-07,0.0027902669720099,0.00287640140792167,0.0060633451825538,0.00955630043864453,0.00908546361587348,0.00642311460315703,0.0109300388029432,0.000887705340140599,0.00665386287054481,0.00662564094671136,0.00443393416447968
"5",2014-01-08,-0.0018592195956928,-0.0031023518127693,-0.000212231694765919,0.00298834234105705,-0.000146900554883977,-0.00413408366557988,-0.00540637829479795,-0.00177619940125595,0.000156358483724972,9.06844675307994e-05,-0.0048937241771867
"6",2014-01-09,0.000310063568616403,-0.000112994350402573,0.000348248734820089,-0.00226391555798067,0.000768642563968136,-0.00109278856123041,0.001201743613926,-0.000889284184884431,0.000444607894481308,0.00039895623916486,0
"7",2014-01-10,0.0117140980100916,0.0125208676534108,0.00230403036309479,0.00443651954665647,0.00532103902762504,-0.000468890551523771,0.000181070265492522,0.0070922283094923,0.00311550231231195,0.00305982743645217,0.0135517865257615
"8",2014-01-13,-0.00800010420652253,-0.00728009039385569,-0.0126559664896657,-0.0148097159371741,-0.014217934620226,-0.0109565493766439,-0.0206038478047459,-0.00265369461346676,-0.012922451752905,-0.0128724429922196,-0.00667685318069999
"9",2014-01-14,0.00830646241330024,0.00755903820452986,0.01075987627814,0.0168078998459471,0.0132729226418054,0.00710475099956653,0.0101109830913417,0.00441892013803535,0.0112971948674065,0.011226058415243,0.00728164603075321
"10",2014-01-15,0.00580429297473906,0.00545172689831119,0.0051528891343553,0.0075876150515235,0.00678432424105857,0.00657902053689696,-0.00573114002630959,0.00264200946283921,0.00515063385240744,0.00524640666945153,0.00752902171066605
"11",2014-01-16,0.00243377052185867,0.00249342143312425,-0.0013480283593692,0.000903545791100413,0.00151848542658239,-0.00394722462843866,-0.00139177952077585,0.000879120935739941,-0.000967391376997639,-0.000964102153936608,0.00179848665537286
"12",2014-01-17,-0.00579002065835565,-0.0054937570542517,-0.00390278060394866,-0.00501645199621592,-0.00401438117606734,0.00252776166184887,-0.00322783616761235,-0.0017590154051792,-0.00381903379996196,-0.00388407054560425,-0.00585719187240663
"13",2014-01-21,0.0082180035680266,0.00809137644398827,0.00276991242951219,0.0066908835807773,0.00621968766743919,-0.0026843379365129,0.00627505079223933,0.00614306451371327,0.00315453526471288,0.00318061921507873,0.0089968969964147
"14",2014-01-22,0.00242198112878178,0.00325131854486749,0.000574699765986786,0.00407149530566642,0.00472639347768133,-0.0025070090995758,0.00490238292989709,0.00087450814493284,0.00149822859440363,0.00137033731920599,0.00431967613646123
"15",2014-01-23,-0.0054578971971142,-0.004742743131537,-0.00892932453982542,-0.00570090397391532,-0.00755414437568369,-0.0108067683381687,-0.00827744047413059,-0.00174978172378726,-0.00871356649629895,-0.00864095105482932,-0.00238089394641783
"16",2014-01-24,-0.0128520128841734,-0.0129077123121792,-0.0210964214964333,-0.0217354716390012,-0.0244084230901764,-0.0198431933951362,-0.0226561376337946,-0.00791212918794937,-0.0219250412843675,-0.0218092838806268,-0.0125939293841624
"17",2014-01-27,-0.00897147534817666,-0.00798340103407291,-0.0048882215903987,-0.0108527632755706,-0.0144377822478399,-0.00259989941789662,-0.00378672798702695,-0.0044228289700019,-0.00617681772179246,-0.00617674589936534,-0.00772441577109717
"18",2014-01-28,0.00866338971506053,0.00915865370873092,0.00612187539440168,0.00350785206148352,0.0092764560050469,0.00570916570234381,0.00753130287185488,0.00618649785749881,0.007024637339617,0.00701230741156067,0.0083277491272824
"19",2014-01-29,-0.00587052521542697,-0.00572135282913422,-0.0102617040053703,-0.0114193909595208,-0.0139694484346267,-0.0119853290538838,-0.00353506204850706,-0.0044150182091176,-0.0105239664527463,-0.0105885040185498,-0.00544302829634535
"20",2014-01-30,0.016900079598074,0.0162922757891453,0.0112040442426675,0.0175426668565262,0.0149529355285578,0.00695345322054131,0.00035616593138954,0.00881062968215574,0.0118768687293169,0.0119146964635046,0.0150469287162363
"21",2014-01-31,0.00668089325717602,0.00689410667017576,-0.00648628988702349,-0.00467971612489926,-0.00747059295591601,-0.00949438516939516,-0.017488978508867,0.00437637459979889,-0.00624356522768288,-0.00627526666884304,0.00536195807567452
"22",2014-02-03,-0.0161713061228412,-0.0167940762921841,-0.0230966046034604,-0.0263987767492235,-0.032625407282497,-0.0209877350188634,-0.01915379040517,-0.0123024398722196,-0.024635343113836,-0.0246036087619288,-0.0160219044562737
"23",2014-02-04,0.0131400215949871,0.013159911177965,0.00761204338333066,0.00860941860813114,0.00751795214163753,0.00470117907082646,0.00277014316531332,0.0088028737459549,0.0079700573706063,0.00799686687319578,0.0120031896040844
"24",2014-02-05,-0.000911131436017953,-0.00149051892123442,-0.00203028211002909,-0.00496576851004704,-0.00842280880527646,-0.00032440917557075,-0.00655087135780352,-0.00175438641489389,-0.00257402910257731,-0.00249690866855801,-0.00209016189389555
