"","Date","FSMEX","VHT","DJSMDQ","FBT","IHI","NASDAQ","Russell2000","RYH","SP500","SPSIHE","XHE","XLV"
"1",2014-01-02,10000,10000,10000,10000,4605.37510635103,10000,10000,10000,10000,10000,10000,10000
"2",2014-01-03,10047.9960501409,10000,10050.8212844864,9943.86773414503,4626.39507532156,9973.06425314062,10046.6663926527,10036.4525643912,9996.67035116836,10056.8823396567,10064.9520131243,10023.5800830114
"3",2014-01-06,10110.1081372167,10000,10104.0231037161,9910.7654039681,4656.4236024223,9929.06311201961,9969.06339431212,10002.7338922063,9971.56104293236,10075.5843495935,10076.8814931898,9981.8606932367
"4",2014-01-07,10225.8619551588,10000,10219.0718420327,10087.79403766,4706.97162304189,10024.4030451561,10060.049657381,10105.7136579136,10032.2057285801,10223.1008638211,10226.6701954753,10087.0669311252
"5",2014-01-08,10355.7318100357,10000,10326.5561179743,10236.0391377646,4757.0191682098,10054.4041977507,10058.5719390456,10206.8711325926,10030.0768024768,10325.4149728997,10343.318654737,10175.9472124806
"6",2014-01-09,10403.7267308711,10000,10353.3214724234,10367.011498258,4768.02962814674,10031.6676222158,10066.3063576916,10298.0039105622,10033.5703723138,10398.1410907859,10429.480105263,10252.131139994
"7",2014-01-10,10539.2445250844,10000,10443.2023203949,10578.5833083513,4809.06861518443,10076.2721830488,10120.0123257442,10349.0380839596,10056.7146754519,10470.6025575881,10485.1532214965,10292.0371795386
"8",2014-01-13,10383.9641662317,10000,10313.8782043251,10356.9366570119,4753.01536459637,9928.14502225488,9977.14470013313,10236.9451315881,9930.23925403377,10318.6928353659,10302.2269273005,10208.5974930419
"9",2014-01-14,10553.3605620192,10000,10433.7271656602,10804.5476048698,4805.56528702267,10096.4265573527,10110.453310278,10389.1366885318,10037.6643035149,10474.5546804426,10481.1768165117,10337.3845394996
"10",2014-01-15,10578.7699366894,10000,10474.0004886361,10824.6971434356,4827.58620689655,10173.3257271794,10179.2791080359,10374.5550795255,10089.5207653961,10564.9242039295,10583.2441520879,10328.3145233391
"11",2014-01-16,10643.7050052911,10000,10511.2981431829,10967.1838960629,4846.10379860868,10182.5219467988,10194.7479366377,10402.8067874928,10075.9289683941,10618.5601569557,10633.616101972,10353.7095890856
"12",2014-01-17,10604.1793113596,10000,10469.5369859924,10964.3058017715,4822.08097692808,10131.5697208003,10153.9043681028,10398.2497840632,10036.6814652636,10555.1497572267,10569.9888502124,10342.8258599161
"13",2014-01-21,10694.5237546315,10000,10490.5467712431,11211.8593316699,4833.09143686502,10199.5861656036,10217.2552891237,10440.1708619292,10064.5207323718,10607.7800361337,10612.4066645703,10402.6840122858
"14",2014-01-22,10666.2905514563,10000,10446.2484651815,11160.0457184782,4815.57479605625,10241.1983872951,10265.6603584748,10462.9540564216,10070.3064724539,10576.3218439476,10597.8252757735,10411.7542098358
"15",2014-01-23,10584.4167467203,10000,10336.728205578,11185.9524531109,4766.02772634002,10182.9804039528,10188.4042473093,10386.4027963254,9980.78571251636,10480.4652213189,10463.9448445402,10339.1980711192
"16",2014-01-24,10347.2625831317,10000,10113.4982584509,10780.0804211249,4664.13092437816,9964.03656555898,9942.73180125419,10168.5955481109,9772.43233302146,10244.0788730804,10278.3666416128,10096.136221728
"17",2014-01-27,10273.8568759942,10000,10056.7412985191,10546.9193776517,4645.90861318252,9856.48391283304,9800.21211433377,10079.2850611696,9724.77908301159,10121.8982892954,10189.5546079121,10014.5107924087
"18",2014-01-28,10369.8481292969,10000,10158.6187886837,10744.0988452462,4680.94689955458,9891.1197133616,9891.54632478348,10193.2010336316,9784.49557074308,10210.4505420054,10234.6232705561,10148.7393406722
"19",2014-01-29,10296.4435514649,10000,10078.4323552259,10683.6499416962,4652.82017917021,9778.8116157996,9754.32754525471,10124.8514501544,9684.60338196491,10127.7558999548,10147.1370586655,10056.2303635728
"20",2014-01-30,10451.722781012,10000,10222.7366126244,10994.5301815833,4712.47685301036,9951.8715786915,9901.27931828516,10323.5209972609,9793.72024032708,10280.3007847787,10311.5055590799,10239.4340605943
"21",2014-01-31,10400.9040316716,10000,10174.5072919538,10831.8938903903,4692.95831039487,9905.40844671992,9827.58649801864,10267.9299115667,9730.40090754703,10249.8129799006,10275.7149979927,10150.5528722918
"22",2014-02-03,10121.4003456465,10000,9905.14665346932,10466.3209355359,4562.83469295831,9647.33912483537,9512.13139239069,10000.9108721158,9508.23717516826,9929.69102868112,9941.67524014647,9951.02485124207
"23",2014-02-04,10158.1033403785,10000,9932.13909840379,10539.7236381812,4578.34943196036,9730.75567456331,9583.91262681927,10082.9304634212,9580.8904582025,9959.22608965673,9978.79056259834,10048.9753301474
"24",2014-02-05,10160.9271688835,10000,9997.11046934122,10440.4142009032,4604.87463089935,9682.55477076893,9503.5281698435,10054.679575649,9561.45828078318,9995.83615627823,10039.7661707379,9992.74424101679
"25",2014-02-06,10194.8060527841,10000,10039.7173428221,10402.9930741367,4627.39602622491,9792.54584003844,9593.38572216368,10091.1327779696,9680.40084149828,9991.49587850045,10014.5813887969,10048.9753301474
"26",2014-02-07,10347.2625831317,10000,10187.5532488035,10810.3048009368,4689.9554576848,9958.4608473159,9703.05614866225,10246.9697371648,9809.16843862016,10083.382734869,10080.8592237312,10221.2945724416
"27",2014-02-10,10429.1363878677,10000,10281.7409852908,11027.633807097,4739.00205194935,10012.3099494256,9722.00021024924,10333.5456028375,9824.56132517343,10180.7390469738,10197.5076829929,10306.5479719473
"28",2014-02-11,10505.3645118783,10000,10396.1554363896,11162.9238127696,4792.05244982734,10115.8078020362,9812.63958614306,10447.4615752995,9933.24173771812,10269.1854392502,10299.5750185691,10446.2178406273
"29",2014-02-12,10547.7140343147,10000,10440.6181872854,11208.980085968,4810.06956608778,10140.5243393745,9842.01254468364,10444.727774226,9930.56709058578,10315.7816734417,10328.7375310515,10446.2178406273
"30",2014-02-13,10652.1745145214,10000,10535.6359786504,11337.0744960964,4855.61283219058,10235.5743498085,9974.53827104909,10546.7966678175,9988.26393288425,10446.5898825655,10446.7120772346,10520.5875109634
"31",2014-02-14,10652.1745145214,10000,10562.1037662565,11243.5232623695,4866.12281667584,10243.6603781457,9986.87769363481,10570.4907344257,10036.2996597812,10445.7253556911,10474.5485027956,10558.6791119412
"32",2014-02-18,10722.7561108276,10000,10597.0522088857,11540.0110158314,4882.13803112957,10313.0769369336,10093.5067546507,10723.5938014146,10047.9264516853,10547.580736224,10571.3146720224,10656.6295908466
"33",2014-02-19,10632.4116675557,10000,10514.2894730248,11364.4207816168,4845.10284770532,10229.0098285343,9985.66093366255,10678.938922475,9982.36891213189,10443.3258525294,10490.4557134026,10591.3292111132
"34",2014-02-20,10762.2815224326,10000,10634.1149422407,11619.1709145436,4901.15609829338,10300.4534953259,10099.0686204055,10811.9926871778,10042.5771519621,10548.3923328817,10505.0368370881,10687.4654328412
"35",2014-02-21,10719.9331293017,10000,10587.4047786103,11783.2469005507,4882.13803112957,10290.4617520634,10120.8811383356,10784.6525803886,10023.3082241434,10499.4495257453,10548.7804732561,10667.5131386266
"36",2014-02-24,10767.9280501371,10000,10629.1189515624,11905.5839706858,4894.64991742155,10361.8099558247,10207.0884194292,10877.6084695815,10085.3175535248,10546.2751242096,10569.9888502124,10747.3243107687
"37",2014-02-25,10753.8120132023,10000,10593.0350565064,12586.3548106064,4883.63945748461,10348.8235200933,10201.8734408495,10821.105873842,10071.7257565227,10489.075203252,10505.0368370881,10720.1155320131
