"","Date","FIVFX","JFAMX","EEM","MOAT","GSPC","IXIC","EAFE","MSCIUSA","ASX200","CAC40","FGIRX","Hang","SP","N225"
"33",2015-03-02,17.32,22.99,40.68,31.040001,2117.389893,5008.100098,1879.484,275.639,55.619999,"4917.319824",27.190001,"24887.439453","29459.140625","18826.880859"
"34",2015-03-03,17.24,23.08,40.369999,31.049999,2107.780029,4979.899902,1870.029,274.447,55.450001,"4869.250000",27.08,"24702.779297","29593.730469","18815.160156"
"35",2015-03-04,17.190001,22.9,39.93,30.889999,2098.530029,4967.140137,1862.016,272.939,55.200001,"4917.350098",26.98,"24465.380859","29380.730469","18703.599609"
"36",2015-03-05,17.25,22.91,39.869999,30.98,2101.040039,4982.810059,1865.561,273.206,55.279999,"4963.509766",27,"24193.039063","29448.949219","18751.839844"
"37",2015-03-09,16.99,22.42,39.110001,30.709999,2079.429932,4942.439941,1838.607,269.02,54.43,"4937.200195",26.809999,"24123.050781","28844.779297","18790.550781"
"38",2015-03-10,16.709999,21.879999,38.240002,30.24,2044.160034,4859.790039,1807.494,264.511,54.610001,"4881.950195",26.309999,"23896.980469","28709.869141","18665.109375"
"39",2015-03-11,16.719999,21.91,38.529999,30.1,2040.23999,4849.939941,1807.924,264.445,54.27,"4997.750000",26.280001,"23717.970703","28659.169922","18723.519531"
"40",2015-03-12,16.91,22.02,38.77,30.219999,2065.949951,4893.290039,1821.871,266.383,54.919998,"4987.330078",26.59,"23797.960938","28930.410156","18991.109375"
"41",2015-03-13,16.780001,21.68,38.299999,29.9,2053.399902,4871.759766,1815.844,265.018,54.5,"5010.459961",26.379999,"23823.210938","28503.300781","19254.250000"
"42",2015-03-16,16.98,21.84,38.759998,30.25,2081.189941,4929.509766,1832.504,267.073,54.43,"5061.160156",26.709999,"23949.550781","28437.710938","19246.060547"
"43",2015-03-17,16.940001,21.969999,39.209999,30.16,2074.280029,4937.430176,1831.175,267.468,54.779999,"5028.930176",26.67,"23901.490234","28736.380859","19437.000000"
"44",2015-03-18,17.24,22.370001,40.169998,30.530001,2099.5,4982.830078,1845.079,269.447,54.759998,"5033.419922",26.959999,"24120.080078","28622.119141","19544.480469"
"45",2015-03-19,17.120001,22.209999,39.490002,30.23,2089.27002,4992.379883,1851.011,270.481,55.82,"5037.180176",26.74,"24468.890625","28469.669922","19476.560547"
"46",2015-03-20,17.34,22.440001,40.080002,30.540001,2108.100098,5026.419922,1887.309,274.878,56.169998,"5087.490234",27,"24375.240234","28261.080078","19560.220703"
"47",2015-03-23,17.370001,22.57,40.200001,30.59,2104.419922,5010.970215,1900.843,276.765,55.919998,"5054.520020",26.98,"24494.509766","28192.019531","19754.359375"
"48",2015-03-24,17.33,22.629999,40.360001,30.4,2091.5,4994.72998,1900.897,277.104,56.060001,"5088.279785",26.82,"24399.599609","28161.720703","19713.449219"
"49",2015-03-25,17.129999,22.33,39.720001,30.209999,2061.050049,4876.52002,1900.118,276.681,56.110001,"5020.990234",26.450001,"24528.230469","28111.830078","19746.199219"
"50",2015-03-26,16.99,22.049999,39.349998,30.18,2056.149902,4863.359863,1874.561,273.16,55.150002,"5006.350098",26.379999,"24497.080078","27457.580078","19471.119141"
"51",2015-03-27,17.02,22.02,39.459999,30.24,2061.02002,4891.220215,1869.834,272.153,55.57,"5034.060059",26.389999,"24486.199219","27458.640625","19285.630859"
"52",2015-03-30,17.129999,22.299999,40.220001,30.57,2086.23999,4947.439941,1871.176,272.921,54.82,"5083.520020",26.68,"24855.119141","27975.859375","19411.400391"
"53",2015-03-31,17.030001,22.309999,40.130001,30.309999,2067.889893,4900.879883,1849.34,271.007,55.360001,"5033.640137",26.469999,"24900.890625","27957.490234","19206.990234"
"54",2015-04-01,17.07,22.540001,40.630001,30.16,2059.689941,4880.22998,1851.875,271.848,55.040001,"5062.220215",26.459999,"25082.750000","28260.140625","19034.839844"
