"","Date","FRESX_HPR","DWRSF_HPR","GSPC_HPR","IXIC_HPR","RUT_HPR","DJI_HPR","XOI_HPR","RMZ_HPR","DWCF_HPR","RUA_HPR","VNQ_HPR"
"1",2014-01-02,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
"2",2014-01-03,10072.2141287284,10074.3196890007,9996.67035116836,9973.06425314062,10046.6663926527,10017.4198746947,9966.9187969135,10008.9126559715,10003.6697457532,10003.5511111469,10055.7534458727
"3",2014-01-06,10113.0295133438,10121.769951978,9971.56104293236,9929.06311201961,9969.06339431212,9990.11638315196,9974.66641878362,10035.6506238859,9972.2481974843,9971.22769134028,10106.8610809974
"4",2014-01-07,10141.2869701727,10150.9261376629,10032.2057285801,10024.4030451561,10060.049657381,10054.4905656352,10084.2879019877,10044.5632798574,10038.8234150571,10037.5128140446,10151.7737339322
"5",2014-01-08,10122.4496075353,10119.4831923165,10030.0768024768,10054.4041977507,10058.5719390456,10013.010261024,10029.9155379773,10026.7379679144,10040.3931929855,10038.4231018233,10102.2151153787
"6",2014-01-09,10125.5886970173,10118.3398124857,10033.5703723138,10031.6676222158,10066.3063576916,10002.0741344726,10041.9761703657,10017.825311943,10044.8582235832,10042.4287923456,10102.2151153787
"7",2014-01-10,10244.8982731554,10245.8266636177,10056.7146754519,10076.2721830488,10120.0123257442,9997.38535576322,10043.7946382873,10089.1265597148,10076.2018027496,10073.203950819,10240.0500232306
"8",2014-01-13,10163.2649921507,10171.506974617,9930.23925403377,9928.14502225488,9977.14470013313,9888.44639682158,9838.9711441245,10062.3885918004,9946.83027010056,9944.3682016313,10171.9064581075
"9",2014-01-14,10248.0373626374,10248.6851131946,10037.6643035149,10096.4265573527,10110.453310278,9958.95151030481,9938.95744307298,10106.9518716578,10059.8386871251,10056.6332278281,10246.2450054205
"10",2014-01-15,10307.6929356358,10304.7107249028,10089.5207653961,10173.3257271794,10179.2791080359,10024.6876594472,9882.15880220037,10133.6898395722,10111.7869010868,10109.533061148,10323.6803469103
"11",2014-01-16,10332.8100470958,10330.4367710954,10075.9289683941,10182.5219467988,10194.7479366377,9985.19595800902,9868.41458263867,10142.6024955437,10102.0095756454,10099.7911354088,10342.2640545145
"12",2014-01-17,10273.1557299843,10273.8394694718,10036.6814652636,10131.5697208003,10153.9043681028,10010.4680810331,9836.61231100526,10124.7771836007,10063.5032349381,10060.6389183504,10281.8644881524
"13",2014-01-21,10357.9284144427,10357.3061971187,10064.5207323718,10199.5861656036,10217.2552891237,9983.63263561693,9898.53162311552,10187.1657754011,10095.2990348985,10092.6889222201,10374.7867430695
"14",2014-01-22,10383.0455259027,10391.0359021267,10070.3064724539,10241.1983872951,10265.6603584748,9958.63492558861,9947.17715766856,10196.0784313725,10110.4354366452,10106.52879098,10419.6993960043
"15",2014-01-23,10326.5302982732,10341.8705694032,9980.78571251636,10182.9804039528,10188.4042473093,9851.59369163561,9865.1798230655,10178.2531194296,10022.7201964406,10019.574993159,10394.9207062103
"16",2014-01-24,10194.6627943485,10209.2385090327,9772.43233302146,9964.03656555898,9942.73180125419,9658.033391193,9644.18583921648,10098.0392156863,9805.36313069857,9803.42088853271,10264.8287130246
"17",2014-01-27,10103.6106750392,10128.0585410473,9724.77908301159,9856.48391283304,9800.21211433377,9632.95608915848,9607.73498907089,10053.4759358289,9744.98385779683,9743.0542753015,10185.8443549636
"18",2014-01-28,10191.5224489796,10221.2439972559,9784.49557074308,9891.1197133616,9891.54632478348,9688.10952190975,9680.36691439023,10115.8645276292,9813.679834955,9811.61567286144,10271.0236952145
"19",2014-01-29,10131.8681318681,10162.9316258861,9684.60338196491,9778.8116157996,9754.32754525471,9572.6874090583,9646.20663162925,10071.3012477718,9710.9425476872,9708.27342630574,10215.2700944711
"20",2014-01-30,10304.5525902669,10329.86508118,9793.72024032708,9951.8715786915,9901.27931828516,9639.48260264745,9649.642893702,10160.4278074866,9826.96577000466,9824.6363955232,10370.1407774508
"21",2014-01-31,10373.6266875981,10401.3263206037,9730.40090754703,9905.40844671992,9827.58649801864,9548.39473786656,9482.34767190071,10204.991087344,9765.80160813873,9763.17722025702,10425.8943781942
"22",2014-02-03,10207.220722135,10228.1042762406,9508.23717516826,9647.33912483537,9512.13139239069,9350.08388641339,9302.4531032342,10080.2139037433,9528.15698195119,9525.89875032091,10260.1827474059
"23",2014-02-04,10342.2288854003,10363.594786188,9580.8904582025,9730.75567456331,9583.91262681927,9394.14379069299,9328.25795518437,10169.3404634581,9604.40036822208,9602.38149806255,10384.0797584017
"24",2014-02-05,10332.8100470958,10348.1591584724,9561.45828078318,9682.55477076893,9503.5281698435,9391.09673852323,9267.34945701396,10151.5151515152,9579.71015246078,9578.43513684094,10362.3980176553
"25",2014-02-06,10433.2810047096,10433.3409558655,9680.40084149828,9792.54584003844,9593.38572216368,9505.62493023379,9401.22626375157,10213.9037433155,9696.15440793123,9695.07153110036,10438.284342574
"26",2014-02-07,10514.9142857143,10514.5209238509,9809.16843862016,9958.4608473159,9703.05614866225,9606.31605896533,9532.00402039361,10222.816399287,9822.48514558651,9820.81186843943,10517.268700635
"27",2014-02-10,10627.9428571429,10624.8570775212,9824.56132517343,10012.3099494256,9722.00021024924,9611.00543129993,9469.14216681577,10231.7290552585,9839.96062040535,9838.56741506876,10616.3857828713
"28",2014-02-11,10668.759811617,10671.7356505831,9933.24173771812,10115.8078020362,9812.63958614306,9728.37991489729,9623.83804175183,10249.5543672014,9945.3072736336,9944.00364401375,10658.2004026638
"29",2014-02-12,10659.3409733124,10652.8698833753,9930.56709058578,10140.5243393745,9842.01254468364,9709.628959694,9603.76001925902,10240.6417112299,9951.37326980064,9949.64873754992,10664.3953848536
"30",2014-02-13,10715.8558869702,10698.0333866911,9988.26393288425,10235.5743498085,9974.53827104909,9748.34197019112,9655.16822065978,10267.3796791444,10018.5098649107,10017.0264222892,10704.6620721697
"31",2014-02-14,10744.1133437991,10730.6197118683,10036.2996597812,10243.6603781457,9986.87769363481,9825.46447352295,9793.69359917193,10294.1176470588,10060.9822339603,10059.8197722523,10746.4765370915
"32",2014-02-18,10784.9287284144,10777.4982849303,10047.9264516853,10313.0769369336,10093.5067546507,9810.87366585174,9840.9919432749,10329.7682709447,10088.6560673736,10087.0438286839,10799.1331887874
"33",2014-02-19,10788.0693877551,10784.9302538303,9982.36891213189,10229.0098285343,9985.66093366255,9756.2304503393,9825.22610257114,10347.5935828877,10020.1420181211,10018.2101260048,10792.9382065975
"34",2014-02-20,10759.8116169545,10753.4873084839,10042.5771519621,10300.4534953259,10099.0686204055,9812.5949831811,9876.97068721976,10311.9429590018,10088.6248797327,10086.2246825859,10769.7074492799
"35",2014-02-21,10766.0913657771,10767.2078664532,10023.3082241434,10290.4617520634,10120.8811383356,9794.39047764366,9847.0559779718,10338.6809269162,10075.88992634,10072.9316456998,10796.035155645
"36",2014-02-24,10784.9287284144,10791.790532815,10085.3175535248,10361.8099558247,10207.0884194292,9857.54821436812,9973.25177785294,10365.4188948307,10140.3079987463,10137.0305335165,10822.3628620102
"37",2014-02-25,10816.326844584,10820.3750285845,10071.7257565227,10348.8235200933,10201.8734408495,9840.83456697694,9991.37645167595,10401.0695187166,10129.5482626145,10125.4669214022,10857.9837385783
"38",2014-02-26,10835.1642072214,10842.6709352847,10071.9443124045,10359.6131403264,10269.3965585134,9852.23874026314,9920.69871049335,10427.807486631,10138.6758455359,10134.0262633485,10882.7624283723
"39",2014-02-27,10810.0470957614,10813.5147495998,10121.7811288527,10424.4687139504,10323.449413741,9897.39332718303,9892.73734991519,10383.2442067736,10189.3869497396,10184.7409725984,10853.3377729596
"40",2014-02-28,10897.9588697017,10903.8417562314,10149.946895162,10398.376807564,10280.7812396957,9927.23246518977,9936.46455119712,10490.1960784314,10207.5485526596,10203.6802138383,10954.0038717671
"41",2014-03-03,10904.2386185243,10910.1303453007,10075.0554053544,10323.9867699608,10222.8171461882,9833.76100958866,9868.27969515275,10516.9340463458,10135.4531226366,10130.7485681385,10960.1977698622
"42",2014-03-04,11073.7833594976,11079.3505602561,10228.8783417819,10504.2164382311,10503.4244165386,9972.34487978097,9981.47149918616,10650.623885918,10300.4565350843,10295.0942906621,11118.1664859842
"43",2014-03-05,11051.8056514914,11053.6245140636,10228.3326207528,10518.6984533911,10479.6133237528,9950.63062161541,9946.16635046634,10614.9732620321,10296.5112985026,10290.8151750978,11104.2275050333
"44",2014-03-06,10963.892621664,10969.5860965013,10245.9090682858,10504.6018239639,10467.7077773598,9988.1646066395,10012.6667906082,10570.4099821747,10309.9583696973,10304.3816370258,11011.3052501162
"45",2014-03-07,10841.443956044,10854.6764235079,10251.4222835557,10466.2011484362,10457.1049110609,10006.9161560762,10026.3443884186,10436.7201426025,10312.3286304103,10306.2944559766,10892.0554437045
"46",2014-03-10,10781.7896389325,10785.5019437457,10246.6733506553,10461.9289056906,10432.9469311001,9986.21164226835,10059.6287447256,10356.5062388592,10300.6904423915,10294.2751445641,10834.75282639
"47",2014-03-11,10850.8637362637,10858.6782529156,10194.5983328923,10396.1316704085,10315.716063991,9945.19938378375,9968.26599410122,10454.5454545455,10241.6886236322,10236.2759387641,10902.8963915131
"48",2014-03-12,10872.8417582418,10876.9723302081,10197.7094258421,10435.0886218615,10353.2573086802,9938.40558505941,9996.02502345049,10481.2834224599,10249.9013690855,10244.6529973491,10935.4190800681
"49",2014-03-13,10819.4659340659,10818.6599588383,10078.3850596446,10283.2443163767,10226.1194700339,9797.79034634845,9871.37874524832,10392.1568627451,10128.3527363776,10123.3729390129,10884.3114449435
"50",2014-03-14,10847.7233908948,10847.2444546078,10049.9460971184,10246.9909568196,10266.7031404116,9771.50313329853,9907.69470790799,10445.632798574,10112.1975383595,10107.347937078,10912.1881678798
"51",2014-03-17,10885.3996860283,10878.6873999543,10146.5626059953,10330.3839346541,10325.9699140131,9881.92582323428,9967.12029941308,10472.3707664884,10202.1998722346,10197.0336999478,10935.4190800681
"52",2014-03-18,10929.3566718995,10920.4207637777,10219.8169217985,10459.1769945512,10472.0528831423,9936.03981333598,10059.6287447256,10508.0213903743,10284.7015784585,10279.0692887273,10967.9417686232
"53",2014-03-19,10706.4357927786,10701.4635261834,10157.1525907177,10397.1216537238,10390.5386552121,9866.68996632733,9937.13814642216,10276.2923351159,10220.1327657876,10213.9689805563,10760.4155180424
"54",2014-03-20,10744.1133437991,10728.3329522067,10218.5069183998,10425.3373041873,10419.3027080087,9932.91316916002,9955.26282024517,10258.4670231729,10273.7599144211,10267.5067965357,10778.9992256466
"55",2014-03-21,10832.0251177394,10828.3786874,10188.5393965932,10322.7563634708,10373.7660776203,9915.71246807857,9954.72327703911,10374.3315508021,10242.0005000418,10235.456792666,10878.1164627536
"56",2014-03-24,10756.6712715856,10757.4891378916,10138.9751049572,10201.1076726666,10239.0677983636,9899.85057010778,9953.17375536014,10303.0303030303,10178.2685557367,10173.9976173999,10806.8761034536
"57",2014-03-25,10866.5623233909,10862.108392408,10183.6265426874,10220.1271035108,10237.5041599065,9955.31405404835,10031.8022716334,10418.8948306595,10213.3598497587,10209.1430331182,10834.75282639
"58",2014-03-26,10734.6935635793,10727.7612622913,10112.3379033869,10073.6416601604,10041.4524742788,9895.16713706662,10006.8050804025,10285.2049910873,10125.706984836,10122.0069519359,10712.4048319653
"59",2014-03-27,10813.1864992151,10787.2170134919,10093.1236104447,10019.69591715,10006.2566916204,9892.27214054067,10053.76703452,10320.8556149733,10106.0535730901,10102.2496845207,10780.5483970884
"60",2014-03-28,10894.8197802198,10863.2517722387,10139.9579432085,10030.6293220705,10009.4730953444,9928.05332785135,10170.5974251174,10409.9821746881,10149.9709695042,10146.6824283927,10845.5937741985
